{'g1': 2, 'g2': 1000, 'g3': 587, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 987, 'g3': 987, 'g4': 987, 'g5': 987, 'g6': 987}
{'g1': 1, 'g2': 959, 'g3': 245, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 997, 'g3': 995, 'g4': 995, 'g5': 997, 'g6': 995}
{'g1': 0, 'g2': 995, 'g3': 995, 'g4': 995, 'g5': 995, 'g6': 995}
{'g1': 28, 'g2': 911, 'g3': 265, 'g4': 903, 'g5': 961, 'g6': 958}
{'g1': 0, 'g2': 994, 'g3': 994, 'g4': 994, 'g5': 994, 'g6': 994}
{'g1': 0, 'g2': 659, 'g3': 659, 'g4': 923, 'g5': 813, 'g6': 896}
{'g1': 1, 'g2': 780, 'g3': 505, 'g4': 994, 'g5': 994, 'g6': 994}
{'g1': 0, 'g2': 989, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 70, 'g2': 371, 'g3': 225, 'g4': 892, 'g5': 837, 'g6': 976}
{'g1': 0, 'g2': 997, 'g3': 836, 'g4': 115, 'g5': 997, 'g6': 997}
{'g1': 7, 'g2': 908, 'g3': 813, 'g4': 94, 'g5': 989, 'g6': 989}
{'g1': 13, 'g2': 997, 'g3': 457, 'g4': 956, 'g5': 996, 'g6': 997}
{'g1': 0, 'g2': 996, 'g3': 996, 'g4': 996, 'g5': 996, 'g6': 996}
{'g1': 42, 'g2': 472, 'g3': 369, 'g4': 917, 'g5': 884, 'g6': 951}
{'g1': 26, 'g2': 352, 'g3': 721, 'g4': 999, 'g5': 955, 'g6': 999}
{'g1': 0, 'g2': 6, 'g3': 999, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 55, 'g2': 562, 'g3': 144, 'g4': 943, 'g5': 850, 'g6': 892}
{'g1': 0, 'g2': 998, 'g3': 981, 'g4': 998, 'g5': 943, 'g6': 998}
{'g1': 15, 'g2': 434, 'g3': 426, 'g4': 640, 'g5': 880, 'g6': 896}
{'g1': 10, 'g2': 740, 'g3': 690, 'g4': 994, 'g5': 938, 'g6': 994}
{'g1': 5, 'g2': 1000, 'g3': 127, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 17, 'g2': 922, 'g3': 421, 'g4': 974, 'g5': 978, 'g6': 983}
{'g1': 0, 'g2': 999, 'g3': 999, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 998, 'g3': 998, 'g4': 998, 'g5': 997, 'g6': 997}
{'g1': 37, 'g2': 152, 'g3': 99, 'g4': 729, 'g5': 822, 'g6': 831}
{'g1': 33, 'g2': 966, 'g3': 989, 'g4': 994, 'g5': 994, 'g6': 994}
{'g1': 0, 'g2': 890, 'g3': 890, 'g4': 967, 'g5': 908, 'g6': 938}
{'g1': 24, 'g2': 688, 'g3': 315, 'g4': 907, 'g5': 905, 'g6': 996}
{'g1': 0, 'g2': 999, 'g3': 999, 'g4': 999, 'g5': 999, 'g6': 999}
{'g1': 31, 'g2': 868, 'g3': 326, 'g4': 985, 'g5': 983, 'g6': 986}
{'g1': 0, 'g2': 998, 'g3': 1000, 'g4': 998, 'g5': 998, 'g6': 996}
{'g1': 20, 'g2': 519, 'g3': 536, 'g4': 963, 'g5': 881, 'g6': 984}
{'g1': 0, 'g2': 790, 'g3': 640, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 24, 'g3': 1000, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 544, 'g3': 249, 'g4': 734, 'g5': 978, 'g6': 798}
{'g1': 0, 'g2': 21, 'g3': 0, 'g4': 1000, 'g5': 1000, 'g6': 1000}
{'g1': 0, 'g2': 0, 'g3': 7, 'g4': 946, 'g5': 946, 'g6': 946}
{'g1': 0, 'g2': 0, 'g3': 60, 'g4': 937, 'g5': 1000, 'g6': 937}
{'g1': 0, 'g2': 0, 'g3': 9, 'g4': 940, 'g5': 940, 'g6': 940}
{'g1': 0, 'g2': 2, 'g3': 0, 'g4': 860, 'g5': 860, 'g6': 860}
{'g1': 0, 'g2': 11, 'g3': 3, 'g4': 902, 'g5': 902, 'g6': 902}
{'g1': 0, 'g2': 380, 'g3': 21, 'g4': 840, 'g5': 840, 'g6': 840}
{'g1': 0, 'g2': 888, 'g3': 0, 'g4': 888, 'g5': 889, 'g6': 888}
{'g1': 0, 'g2': 878, 'g3': 588, 'g4': 878, 'g5': 878, 'g6': 878}
{'g1': 0, 'g2': 586, 'g3': 543, 'g4': 543, 'g5': 543, 'g6': 586}
{'g1': 85, 'g2': 0, 'g3': 8, 'g4': 0, 'g5': 0, 'g6': 652}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 201, 'g5': 571, 'g6': 449}
{'g1': 0, 'g2': 0, 'g3': 11, 'g4': 308, 'g5': 139, 'g6': 218}
{'g1': 0, 'g2': 0, 'g3': 85, 'g4': 588, 'g5': 588, 'g6': 587}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 0, 'g6': 40}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 769, 'g6': 449}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 356, 'g5': 252, 'g6': 0}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 54, 'g5': 0, 'g6': 0}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 124, 'g5': 337, 'g6': 433}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 0, 'g5': 345, 'g6': 427}
